city, state, country, continent
Karlstad, Värmland County, Sweden, Europ
Nottingham, Nottinghamshire, UK, Europ
Thunder Bay, Ontario, Canada, North Americ
Sudbury, Ontario, Canada, North Americ
Sheffield, South Yorkshire, UK, Europ
Columbus, Ohio, USA, North Americ
Hamburg, Hamburg, Germany, Europ
Kelowna, British Columbia, Canada, North Americ
Sønderborg, Southern Denmark, Denmark, Europ
Abbotsford, British Columbia, Canada, North Americ
Glostrup, Capital Region, Denmark, Europ
Norwich, Norfolk, UK, Europ
Cagliari, Sardinia, Italy, Europ
Frankfurt, Hesse, Germany, Europ
Nancy, Grand Est, France, Europ
Sheffield, South Yorkshire, UK, Europ
Sherbrooke, Quebec, Canada, North Americ
Leipzig, Saxony, Germany, Europ
Nanaimo, British Columbia, Canada, North Americ
Glasgow, Scotland, UK, Europ
Fort Worth, Texas, USA, North Americ
Florence, Tuscany, Italy, Europ
Dresden, Saxony, Germany, Europ
Limoges, Nouvelle-Aquitaine, France, Europ
Marseille, Provence-Alpes-Côte d'Azur, France, Europ
Salerno, Campania, Italy, Europ
Holstebro, Central Denmark Region, Denmark, Europ
Bonn, North Rhine-Westphalia, Germany, Europ
Essen, North Rhine-Westphalia, Germany, Europ
Besançon, Bourgogne-Franche-Comté, France, Europ
Ottawa, Ontario, Canada, North Americ
Hanover, Lower Saxony, Germany, Europ
Perugia, Umbria, Italy, Europ
Fresno, California, USA, North Americ
Portland, Oregon, USA, North Americ
Bonn, North Rhine-Westphalia, Germany, Europ
Halifax, Nova Scotia, Canada, North Americ
Jacksonville, Florida, USA, North Americ
Taastrup, Capital Region, Denmark, Europ
Kristianstad, Skåne County, Sweden, Europ
Berlin, Berlin, Germany, Europe
Hamburg, Hamburg, Germany, Europ
Limoges, Nouvelle-Aquitaine, France, Europ
Lichfield, Staffordshire, UK, Europ
Plymouth, Devon, UK, Europ
Baltimore, Maryland, USA, North Americ
Bielefeld, North Rhine-Westphalia, Germany, Europ
Florence, Tuscany, Italy, Europ
Aberdeen, Scotland, UK, Europ
Nashville, Tennessee, USA, North Americ
Tampa, Florida, USA, North Americ
Dunkirk, Hauts-de-France, France, Europ
Dortmund, North Rhine-Westphalia, Germany, Europ
Taastrup, Capital Region, Denmark, Europ
Wichita, Kansas, USA, North Americ
Ottawa, Ontario, Canada, North Americ
Sundsvall, Västernorrland County, Sweden, Europ
Stockholm, Stockholm County, Sweden, Europe
Bristol, Bristol, UK, Europ
Holstebro, Central Denmark Region, Denmark, Europ
Karlstad, Värmland County, Sweden, Europ
Leicester, Leicestershire, UK, Europ
Besançon, Bourgogne-Franche-Comté, France, Europ
Kristianstad, Skåne County, Sweden, Europ
Sundsvall, Västernorrland County, Sweden, Europ
Aachen, North Rhine-Westphalia, Germany, Europ
Atlanta, Georgia, USA, North Americ
Peterborough, Ontario, Canada, North Americ
Stirling, Scotland, UK, Europ
Metz, Grand Est, France, Europ
New York, New York, USA, North America
Marseille, Provence-Alpes-Côte d'Azur, France, Europ
Kiel, Schleswig-Holstein, Germany, Europ
Leipzig, Saxony, Germany, Europ
Nice, Provence-Alpes-Côte d'Azur, France, Europ
Angers, Pays de la Loire, France, Europ
Kingston, Ontario, Canada, North Americ
Livorno, Tuscany, Italy, Europ
Belfast, Northern Ireland, UK, Europ
Trelleborg, Skåne County, Sweden, Europ
Cagliari, Sardinia, Italy, Europ
Hamilton, Ontario, Canada, North Americ
Los Angeles, California, USA, North America
Herning, Central Denmark Region, Denmark, Europ
Slagelse, Zealand, Denmark, Europ
San Diego, California, USA, North Americ
El Paso, Texas, USA, North Americ
Uppsala, Uppsala County, Sweden, Europ
Kamloops, British Columbia, Canada, North Americ
Portsmouth, Hampshire, UK, Europ
Lancaster, Lancashire, UK, Europ
Rennes, Brittany, France, Europ
Næstved, Zealand, Denmark, Europ
Kelowna, British Columbia, Canada, North Americ
Catania, Sicily, Italy, Europ
Turin, Piedmont, Italy, Europ
Viborg, Central Denmark Region, Denmark, Europ
Frankfurt, Hesse, Germany, Europ
Mannheim, Baden-Württemberg, Germany, Europ
Duisburg, North Rhine-Westphalia, Germany, Europ
Villeurbanne, Auvergne-Rhône-Alpes, France, Europ
Cardiff, Wales, UK, Europ
Skövde, Västra Götaland County, Sweden, Europ
Fresno, California, USA, North Americ
Victoria, British Columbia, Canada, North Americ
Sudbury, Ontario, Canada, North Americ
Paris, Île-de-France, France, Europe
Östersund, Jämtland County, Sweden, Europ
Toronto, Ontario, Canada, North America
Aachen, North Rhine-Westphalia, Germany, Europ
Barrie, Ontario, Canada, North Americ
Cannes, Provence-Alpes-Côte d'Azur, France, Europ
Saint John, New Brunswick, Canada, North Americ
Boden, Norrbotten County, Sweden, Europ
Austin, Texas, USA, North Americ
Stuttgart, Baden-Württemberg, Germany, Europ
Atlanta, Georgia, USA, North Americ
Memphis, Tennessee, USA, North Americ
Moncton, New Brunswick, Canada, North Americ
Toulouse, Occitanie, France, Europ
Stockholm, Stockholm County, Sweden, Europe
Tours, Centre-Val de Loire, France, Europ
Amiens, Hauts-de-France, France, Europ
Sarnia, Ontario, Canada, North Americ
Dortmund, North Rhine-Westphalia, Germany, Europ
Rouen, Normandy, France, Europ
Nîmes, Occitanie, France, Europ
Stuttgart, Baden-Württemberg, Germany, Europ
Raleigh, North Carolina, USA, North Americ
Birmingham, West Midlands, UK, Europ
Prato, Tuscany, Italy, Europ
Verona, Veneto, Italy, Europ
San Antonio, Texas, USA, North Americ
Trois-Rivières, Quebec, Canada, North Americ
Winnipeg, Manitoba, Canada, North Americ
Houston, Texas, USA, North Americ
Marseille, Provence-Alpes-Côte d'Azur, France, Europ
Chemnitz, Saxony, Germany, Europ
Nîmes, Occitanie, France, Europ
Brighton, East Sussex, UK, Europ
Catania, Sicily, Italy, Europ
Ottawa, Ontario, Canada, North Americ
Vejle, Southern Denmark, Denmark, Europ
Columbus, Ohio, USA, North Americ
New Orleans, Louisiana, USA, North Americ
Hillerød, Capital Region, Denmark, Europ
Leicester, Leicestershire, UK, Europ
Mannheim, Baden-Württemberg, Germany, Europ
Arlington, Texas, USA, North Americ
Reims, Grand Est, France, Europ
Oshawa, Ontario, Canada, North Americ
Calgary, Alberta, Canada, North Americ
Sherbrooke, Quebec, Canada, North Americ
Gelsenkirchen, North Rhine-Westphalia, Germany, Europ
Edinburgh, Scotland, UK, Europ
Mönchengladbach, North Rhine-Westphalia, Germany, Europ
Næstved, Zealand, Denmark, Europ
Leeds, West Yorkshire, UK, Europ
Prato, Tuscany, Italy, Europ
Bielefeld, North Rhine-Westphalia, Germany, Europ
Bordeaux, Nouvelle-Aquitaine, France, Europ
Haderslev, Southern Denmark, Denmark, Europ
Omaha, Nebraska, USA, North Americ
Dresden, Saxony, Germany, Europ
Aberdeen, Scotland, UK, Europ
Winnipeg, Manitoba, Canada, North Americ
Modena, Emilia-Romagna, Italy, Europ
Bristol, Bristol, UK, Europ
Ravenna, Emilia-Romagna, Italy, Europ
Salerno, Campania, Italy, Europ
Guelph, Ontario, Canada, North Americ
Stoke-on-Trent, Staffordshire, UK, Europ
Minneapolis, Minnesota, USA, North Americ
London, Greater London, UK, Europe
Baltimore, Maryland, USA, North Americ
Quebec City, Quebec, Canada, North Americ
Messina, Sicily, Italy, Europ
Nanaimo, British Columbia, Canada, North Americ
Barrie, Ontario, Canada, North Americ
Nice, Provence-Alpes-Côte d'Azur, France, Europ
Minneapolis, Minnesota, USA, North Americ
Trieste, Friuli-Venezia Giulia, Italy, Europ
Belleville, Ontario, Canada, North Americ
Louisville, Kentucky, USA, North Americ
Malmö, Skåne County, Sweden, Europ
Plymouth, Devon, UK, Europ
Leipzig, Saxony, Germany, Europ
Coventry, West Midlands, UK, Europ
Tampa, Florida, USA, North Americ
Miami, Florida, USA, North Americ
Lichfield, Staffordshire, UK, Europ
Naples, Campania, Italy, Europ
Liverpool, Merseyside, UK, Europ
Bologna, Emilia-Romagna, Italy, Europ
Baltimore, Maryland, USA, North Americ
Wolverhampton, West Midlands, UK, Europ
Rimini, Emilia-Romagna, Italy, Europ
Køge, Zealand, Denmark, Europ
Parma, Emilia-Romagna, Italy, Europ
Poitiers, Nouvelle-Aquitaine, France, Europ
Kamloops, British Columbia, Canada, North Americ
Perpignan, Occitanie, France, Europ
Uppsala, Uppsala County, Sweden, Europ
Nantes, Pays de la Loire, France, Europ
Düsseldorf, North Rhine-Westphalia, Germany, Europ
Slagelse, Zealand, Denmark, Europ
Toronto, Ontario, Canada, North America
Cagliari, Sardinia, Italy, Europ
Brest, Brittany, France, Europ
Skövde, Västra Götaland County, Sweden, Europ
Hjørring, North Denmark Region, Denmark, Europ
Louisville, Kentucky, USA, North Americ
Sudbury, Ontario, Canada, North Americ
Livorno, Tuscany, Italy, Europ
Prato, Tuscany, Italy, Europ
Dresden, Saxony, Germany, Europ
Rimini, Emilia-Romagna, Italy, Europ
Venice, Veneto, Italy, Europ
Lichfield, Staffordshire, UK, Europ
Minneapolis, Minnesota, USA, North Americ
Stirling, Scotland, UK, Europ
Kolding, Southern Denmark, Denmark, Europ
Phoenix, Arizona, USA, North Americ
Aachen, North Rhine-Westphalia, Germany, Europ
Bordeaux, Nouvelle-Aquitaine, France, Europ
Windsor, Ontario, Canada, North Americ
Fresno, California, USA, North Americ
Houston, Texas, USA, North Americ
Miami, Florida, USA, North Americ
San Francisco, California, USA, North Americ
Hamilton, Ontario, Canada, North Americ
Sønderborg, Southern Denmark, Denmark, Europ
Besançon, Bourgogne-Franche-Comté, France, Europ
Slagelse, Zealand, Denmark, Europ
Trelleborg, Skåne County, Sweden, Europ
Herlev, Capital Region, Denmark, Europ
Norrköping, Östergötland County, Sweden, Europ
Durham, County Durham, UK, Europ
Seattle, Washington, USA, North Americ
Venice, Veneto, Italy, Europ
Virginia Beach, Virginia, USA, North Americ
Herlev, Capital Region, Denmark, Europ
Bordeaux, Nouvelle-Aquitaine, France, Europ
