product_id,product_name,product_brand,product_category,product_price
1c089de1-6af4-46e6-86db-6446f3b8b220,GoldenHarvest Wheat Crackers,Tide,Bed & Bath,18.34
09b7962e-0ab4-422e-8af2-78dca9c05e8b,AquaRealm Aquarium Kit Plus,Clarks,Tablets & eBook Readers,136.51
704f666e-396c-4813-89e0-44890d9911c5,WanderLust Cruise Packages Plus,Brita,Drives & Storage,95.37
5d1936d9-a59b-47aa-99ba-b195c72e3b55,Quantum QLED Smart TV,Oral-B,Cell Phones & Accessories,152.75
666f144c-a887-4e88-bfe7-2666586f5b6e,DanceFloor LED Lights Plus,Samsung,DJ,58.78
a91bbd8c-b91f-4379-8133-12197895bb34,Celestial Star Projector,Microsoft,Drums & Percussion,50.8
6d04643a-82e8-4d89-bd03-92c32df947e0,PartyTunes Music Playlist Plus,Pampers,Appliances,55.58
9761971c-4cd0-48a7-b7c1-deba30b5c105,AutoDrive Car Mount Holder Pro,Logitech,Instrument Accessories,29.0
743ce2ce-5308-4d11-aba4-4d16cc947204,DesignPro Graphic Software Plus,Pampers,Electronics,83.42
1fd28941-6029-4e2f-b915-05aab9544ff4,TerraTrek Mountain Bike Plus,Western Digital,Networking,192.85
ad929f62-524a-40c1-9ca4-992b4022c737,SwiftWheels Scooter Plus,Keurig,Office Products,22.75
22664b03-70bc-43da-b5b2-07d8e33d8916,AquaLife Fish Tank Plus,Seagate,Wearable Technology,150.68
0a8fb852-c8bf-428f-a15d-d53b46dc284c,AeroFan Ceiling Fan Ultra,Levi's,Movies & TV,176.88
09b7962e-0ab4-422e-8af2-78dca9c05e8b,AquaRealm Aquarium Kit Plus,Clarks,Tablets & eBook Readers,136.51
5d1936d9-a59b-47aa-99ba-b195c72e3b55,Quantum QLED Smart TV,Oral-B,Cell Phones & Accessories,152.75
8258f227-977f-46c3-a1a4-c3edf9e49361,JourneyBook Travel Journal Pro,GoPro,Beauty & Personal Care,101.41
84a24812-1bab-4c6d-a207-e513f640384c,Quantum VR Headset Ultra,Sony,Digital Music,134.96
61625baa-8b5d-4edc-8969-27445531741e,ClassicMan Leather Wallet Plus,GE,Car Electronics,86.28
6f3698eb-954e-4a05-ad18-2ab669351709,KaraokeStar Microphone Set Ultra,Nikon,Discover Shop by Style,91.93
666f144c-a887-4e88-bfe7-2666586f5b6e,DanceFloor LED Lights Plus,Samsung,DJ,58.78
a91bbd8c-b91f-4379-8133-12197895bb34,Celestial Star Projector,Microsoft,Drums & Percussion,50.8
48e189c7-4833-41ee-891b-c87a4fbdf00f,KidZone Toy Train Set Pro,Microsoft,Arts,180.12
8cdfb94e-c00f-4b4e-ab73-7b91c19620ec,StyleSense Formal Shoes Ultra,Arm & Hammer,Camera,32.8
6f3698eb-954e-4a05-ad18-2ab669351709,KaraokeStar Microphone Set Ultra,Nikon,Discover Shop by Style,91.93
35944cc8-5aba-4c0b-9936-22738446e85c,GourmetFeast Chocolate Fountain Pro,Samsung,Cell Phones & Accessories,176.43
b8469178-bd2c-4025-af7e-7bd78f2c9763,VirtualGuard Antivirus Pro Ultra,Lenovo,Toys & Games,179.28
