city, state, country, continent
Rouen, Normandy, France, Europe
Frankfurt, Hesse, Germany, Europe
Arlington, Texas, USA, North America
Long Beach, California, USA, North America
Gloucester, Gloucestershire, UK, Europe
Montreal, Quebec, Canada, North America
Kiel, Schleswig-Holstein, Germany, Europe
Rome, Lazio, Italy, Europee
Las Vegas, Nevada, USA, North America
Belleville, Ontario, Canada, North America
Edmonton, Alberta, Canada, North America
Nîmes, Occitanie, France, Europe
Regina, Saskatchewan, Canada, North America
Odense, Southern Denmark, Denmark, Europe
Dresden, Saxony, Germany, Europe
Indianapolis, Indiana, USA, North America
Haderslev, Southern Denmark, Denmark, Europe
Newcastle, Tyne and Wear, UK, Europe
Amiens, Hauts-de-France, France, Europe
Albuquerque, New Mexico, USA, North America
Livorno, Tuscany, Italy, Europe
Canterbury, Kent, UK, Europe
Nîmes, Occitanie, France, Europe
Aarhus, Central Denmark Region, Denmark, Europe
Herning, Central Denmark Region, Denmark, Europe
Vancouver, British Columbia, Canada, North America
Milan, Lombardy, Italy, Europe
Perugia, Umbria, Italy, Europe
Essen, North Rhine-Westphalia, Germany, Europe
Thunder Bay, Ontario, Canada, North America
Glostrup, Capital Region, Denmark, Europe
Victoria, British Columbia, Canada, North America
Austin, Texas, USA, North America
Kiel, Schleswig-Holstein, Germany, Europe
Portsmouth, Hampshire, UK, Europe
Esbjerg, Southern Denmark, Denmark, Europe
Dortmund, North Rhine-Westphalia, Germany, Europe
Nancy, Grand Est, France, Europe
St. John's, Newfoundland and Labrador, Canada, North America
Hjørring, North Denmark Region, Denmark, Europe
Växjö, Kronoberg County, Sweden, Europe
Braunschweig, Lower Saxony, Germany, Europe
Toulouse, Occitanie, France, Europe
Gelsenkirchen, North Rhine-Westphalia, Germany, Europe
Bremen, Bremen, Germany, Europe
Derby, Derbyshire, UK, Europe
Sheffield, South Yorkshire, UK, Europe
Charlotte, North Carolina, USA, North America
Durham, County Durham, UK, Europe
Austin, Texas, USA, North America
Kolding, Southern Denmark, Denmark, Europe
Sarnia, Ontario, Canada, North America
Lund, Skåne County, Sweden, Europe
Växjö, Kronoberg County, Sweden, Europe
Stockholm, Stockholm County, Sweden, Europee
Aalborg, North Denmark Region, Denmark, Europe
Southampton, Hampshire, UK, Europe
Guelph, Ontario, Canada, North America
Glasgow, Scotland, UK, Europe
Kingston, Ontario, Canada, North America
Wuppertal, North Rhine-Westphalia, Germany, Europe
Sarnia, Ontario, Canada, North America
Derby, Derbyshire, UK, Europe
Borås, Västra Götaland County, Sweden, Europe
Venice, Veneto, Italy, Europe
Malmö, Skåne County, Sweden, Europe
Kitchener, Ontario, Canada, North America
Randers, Central Denmark Region, Denmark, Europe
Dijon, Bourgogne-Franche-Comté, France, Europe
Baltimore, Maryland, USA, North America
Stockholm, Stockholm County, Sweden, Europee
Toronto, Ontario, Canada, North Americaa
Trelleborg, Skåne County, Sweden, Europe
Arlington, Texas, USA, North America
Dallas, Texas, USA, North America
Eskilstuna, Södermanland County, Sweden, Europe
Clermont-Ferrand, Auvergne-Rhône-Alpes, France, Europe
Saint John, New Brunswick, Canada, North America
Oakland, California, USA, North America
Clermont-Ferrand, Auvergne-Rhône-Alpes, France, Europe
Rome, Lazio, Italy, Europee
Virginia Beach, Virginia, USA, North America
Odense, Southern Denmark, Denmark, Europe
Belfast, Northern Ireland, UK, Europe
Raleigh, North Carolina, USA, North America
Lancaster, Lancashire, UK, Europe
Östersund, Jämtland County, Sweden, Europe
Trieste, Friuli-Venezia Giulia, Italy, Europe
Eskilstuna, Södermanland County, Sweden, Europe
San Jose, California, USA, North America
Falun, Dalarna County, Sweden, Europe
Grenoble, Auvergne-Rhône-Alpes, France, Europe
Holstebro, Central Denmark Region, Denmark, Europe
Foggia, Apulia, Italy, Europe
Östersund, Jämtland County, Sweden, Europe
Glostrup, Capital Region, Denmark, Europe
Reggio Calabria, Calabria, Italy, Europe
Durham, County Durham, UK, Europe
Memphis, Tennessee, USA, North America
Fort Worth, Texas, USA, North America
Durham, County Durham, UK, Europe
Milan, Lombardy, Italy, Europe
Trieste, Friuli-Venezia Giulia, Italy, Europe
Berlin, Berlin, Germany, Europee
Livorno, Tuscany, Italy, Europe
Winnipeg, Manitoba, Canada, North America
Frankfurt, Hesse, Germany, Europe
Fredericton, New Brunswick, Canada, North America
Nantes, Pays de la Loire, France, Europe
Luleå, Norrbotten County, Sweden, Europe
Perugia, Umbria, Italy, Europe
Reims, Grand Est, France, Europe
Wuppertal, North Rhine-Westphalia, Germany, Europe
Turin, Piedmont, Italy, Europe
Mesa, Arizona, USA, North America
Umeå, Västerbotten County, Sweden, Europe
Mannheim, Baden-Württemberg, Germany, Europe
Orléans, Centre-Val de Loire, France, Europe
Leicester, Leicestershire, UK, Europe
Tours, Centre-Val de Loire, France, Europe
Gloucester, Gloucestershire, UK, Europe
Leipzig, Saxony, Germany, Europe
Køge, Zealand, Denmark, Europe
Saint John, New Brunswick, Canada, North America
Umeå, Västerbotten County, Sweden, Europe
Plymouth, Devon, UK, Europe
Bremen, Bremen, Germany, Europe
Falun, Dalarna County, Sweden, Europe
Norrköping, Östergötland County, Sweden, Europe
Wiesbaden, Hesse, Germany, Europe
Dunkirk, Hauts-de-France, France, Europe
Lyon, Auvergne-Rhône-Alpes, France, Europe
Portland, Oregon, USA, North America
Berlin, Berlin, Germany, Europee
Nanaimo, British Columbia, Canada, North America
Kiel, Schleswig-Holstein, Germany, Europe
London, Greater London, UK, Europee
Houston, Texas, USA, North America
Baltimore, Maryland, USA, North America
Gävle, Gävleborg County, Sweden, Europe
Seattle, Washington, USA, North America
Kiel, Schleswig-Holstein, Germany, Europe
Karlskrona, Blekinge County, Sweden, Europe
Coventry, West Midlands, UK, Europe
Omaha, Nebraska, USA, North America
Sudbury, Ontario, Canada, North America
Jacksonville, Florida, USA, North America
Omaha, Nebraska, USA, North America
Helsingborg, Skåne County, Sweden, Europe
Taranto, Apulia, Italy, Europe
Villeurbanne, Auvergne-Rhône-Alpes, France, Europe
Tours, Centre-Val de Loire, France, Europe
Oxford, Oxfordshire, UK, Europe
Liverpool, Merseyside, UK, Europe
Aix-en-Provence, Provence-Alpes-Côte d'Azur, France, Europe
Palermo, Sicily, Italy, Europe
Haderslev, Southern Denmark, Denmark, Europe
Gloucester, Gloucestershire, UK, Europe
Gelsenkirchen, North Rhine-Westphalia, Germany, Europe
Bremen, Bremen, Germany, Europe
New York, New York, USA, North Americaa
Herlev, Capital Region, Denmark, Europe
Horsens, Central Denmark Region, Denmark, Europe
Lyon, Auvergne-Rhône-Alpes, France, Europe
Duisburg, North Rhine-Westphalia, Germany, Europe
Belleville, Ontario, Canada, North America
Västerås, Västmanland County, Sweden, Europe
Leicester, Leicestershire, UK, Europe
Södertälje, Stockholm County, Sweden, Europe
Seattle, Washington, USA, North America
Livorno, Tuscany, Italy, Europe
Dunkirk, Hauts-de-France, France, Europe
Lichfield, Staffordshire, UK, Europe
Strasbourg, Grand Est, France, Europe
Odense, Southern Denmark, Denmark, Europe
Padua, Veneto, Italy, Europe
Lyon, Auvergne-Rhône-Alpes, France, Europe
Tulsa, Oklahoma, USA, North America
Victoria, British Columbia, Canada, North America
Marseille, Provence-Alpes-Côte d'Azur, France, Europe
Calgary, Alberta, Canada, North America
Fredericia, Southern Denmark, Denmark, Europe
Messina, Sicily, Italy, Europe
Nashville, Tennessee, USA, North America
Växjö, Kronoberg County, Sweden, Europe
Metz, Grand Est, France, Europe
Norwich, Norfolk, UK, Europe
Fort Worth, Texas, USA, North America
Braunschweig, Lower Saxony, Germany, Europe
Nantes, Pays de la Loire, France, Europe
Sheffield, South Yorkshire, UK, Europe
Reggio Calabria, Calabria, Italy, Europe
Odense, Southern Denmark, Denmark, Europe
Detroit, Michigan, USA, North America
Milan, Lombardy, Italy, Europe
Derby, Derbyshire, UK, Europe
Næstved, Zealand, Denmark, Europe
Oxford, Oxfordshire, UK, Europe
Detroit, Michigan, USA, North America
Sønderborg, Southern Denmark, Denmark, Europe
Oxford, Oxfordshire, UK, Europe
Manchester, Greater Manchester, UK, Europe
Rennes, Brittany, France, Europe
Rouen, Normandy, France, Europe
Karlstad, Värmland County, Sweden, Europe
Hamburg, Hamburg, Germany, Europe
Kolding, Southern Denmark, Denmark, Europe
San Antonio, Texas, USA, North America
Baltimore, Maryland, USA, North America
Aachen, North Rhine-Westphalia, Germany, Europe
La Rochelle, Nouvelle-Aquitaine, France, Europe
Fredericton, New Brunswick, Canada, North America
Louisville, Kentucky, USA, North America
Holstebro, Central Denmark Region, Denmark, Europe
Hillerød, Capital Region, Denmark, Europe
Västerås, Västmanland County, Sweden, Europe
Reggio Calabria, Calabria, Italy, Europe
Hjørring, North Denmark Region, Denmark, Europe
Stockholm, Stockholm County, Sweden, Europee
Eskilstuna, Södermanland County, Sweden, Europe
Quebec City, Quebec, Canada, North America
Belleville, Ontario, Canada, North America
