asset_type, size, library
note, s, sticky_note
text, m, text
mind map, custom, mind_map
frame, 1:1, frame
codeblock, custom, code_block
frame, tablet, frame
frame, custom, frame
arrow, custom, shape
circle, custom, shape
note, xl, sticky_note
note, s, sticky_note
text, xl, text
comment, custom, shape
triangle, custom, shape
text, l, text
frame, letter, frame
text, l, text
note, m, sticky_note
frame, custom, frame
text, m, text
frame, 16:9, frame
triangle, custom, shape
frame, 4:3, frame
frame, tablet, frame
text, l, text
frame, letter, frame
frame, 1:1, frame
frame, 4:3, frame
arrow, custom, shape
triangle, custom, shape
comment, custom, shape
text, xl, text
frame, letter, frame
frame, custom, frame
frame, a4, frame
note, s, sticky_note
square, custom, shape
rectangle, custom, shape
frame, letter, frame
text, m, text
connection line, custom, connection
rectangle, custom, shape
text, xl, text
comment, custom, comment
frame, 4:3, frame
note, m, sticky_note
frame, 1:1, frame
text, xxl, text
arrow, custom, connection
codeblock, custom, code_block
triangle, custom, shape
comment, custom, shape
arrow, custom, shape
note, m, sticky_note
rectangle, custom, shape
square, custom, shape
text, xl, text
text, l, text
comment, custom, shape
triangle, custom, shape
frame, tablet, frame
frame, custom, frame
frame, 1:1, frame
text, l, text
text, s, text
text, s, text
arrow, custom, connection
text, m, text
comment, custom, shape
comment, custom, comment
frame, a4, frame
text, s, text
arrow, custom, connection
note, s, sticky_note
frame, custom, frame
arrow, custom, shape
codeblock, custom, code_block
text, xxl, text
comment, custom, comment
frame, 4:3, frame
note, s, sticky_note
frame, phone, frame
rectangle, custom, shape
frame, browser, frame
frame, browser, frame
triangle, custom, shape
note, m, sticky_note
text, xxl, text
rectangle, custom, shape
text, m, text
text, xl, text
arrow, custom, shape
frame, custom, frame
frame, 4:3, frame
text, s, text
note, l, sticky_note
connection line, custom, connection
comment, custom, shape
comment, custom, comment
frame, browser, frame
text, xl, text
frame, 16:9, frame
frame, custom, frame
text, s, text
mind map, custom, mind_map
text, m, text
rectangle, custom, shape
text, l, text
frame, phone, frame
text, l, text
text, s, text
arrow, custom, shape
triangle, custom, shape
comment, custom, shape
square, custom, shape
note, s, sticky_note
frame, 4:3, frame
connection line, custom, connection
frame, custom, frame
triangle, custom, shape
rectangle, custom, shape
note, s, sticky_note
text, xl, text
text, m, text
triangle, custom, shape
arrow, custom, connection
text, s, text
frame, 4:3, frame
circle, custom, shape
comment, custom, comment
arrow, custom, shape
comment, custom, comment
comment, custom, comment
note, m, sticky_note
frame, browser, frame
comment, custom, comment
frame, 4:3, frame
note, m, sticky_note
text, xl, text
text, m, text
text, l, text
arrow, custom, connection
arrow, custom, connection
text, xl, text
frame, a4, frame
frame, a4, frame
text, xl, text
frame, 4:3, frame
frame, a4, frame
circle, custom, shape
text, xxl, text
text, s, text
connection line, custom, connection
frame, browser, frame
frame, letter, frame
text, l, text
codeblock, custom, code_block
frame, custom, frame
frame, custom, frame
arrow, custom, shape
note, l, sticky_note
mind map, custom, mind_map
frame, custom, frame
frame, letter, frame
frame, 4:3, frame
square, custom, shape
frame, 4:3, frame
frame, a4, frame
comment, custom, comment
frame, custom, frame
note, s, sticky_note
star, custom, shape
mind map, custom, mind_map
connection line, custom, connection
frame, phone, frame
mind map, custom, mind_map
note, xl, sticky_note
card, custom, card
codeblock, custom, code_block
frame, phone, frame
frame, 4:3, frame
connection line, custom, connection
comment, custom, shape
text, xl, text
codeblock, custom, code_block
rectangle, custom, shape
mind map, custom, mind_map
frame, phone, frame
star, custom, shape
circle, custom, shape
frame, phone, frame
text, s, text
frame, 16:9, frame
text, s, text
text, xl, text
arrow, custom, shape
text, xxl, text
frame, 16:9, frame
comment, custom, comment
note, s, sticky_note
frame, tablet, frame
star, custom, shape
arrow, custom, connection
note, s, sticky_note
triangle, custom, shape
note, s, sticky_note
text, xl, text
arrow, custom, shape
frame, 4:3, frame
text, m, text
frame, custom, frame
frame, letter, frame
connection line, custom, connection
frame, tablet, frame
frame, phone, frame
text, s, text
frame, a4, frame
text, l, text
mind map, custom, mind_map
rectangle, custom, shape
rectangle, custom, shape
