city, state, country, continent
Lethbridge, Alberta, Canada, North Americ
Winnipeg, Manitoba, Canada, North Americ
Stuttgart, Baden-Württemberg, Germany, Europ
New York, New York, USA, North America
Atlanta, Georgia, USA, North Americ
Messina, Sicily, Italy, Europ
Reims, Grand Est, France, Europ
Metz, Grand Est, France, Europ
Atlanta, Georgia, USA, North Americ
Miami, Florida, USA, North Americ
Peterborough, Ontario, Canada, North Americ
Sherbrooke, Quebec, Canada, North Americ
Cologne, North Rhine-Westphalia, Germany, Europ
Toronto, Ontario, Canada, North America
Tours, Centre-Val de Loire, France, Europ
Lille, Hauts-de-France, France, Europ
Grenoble, Auvergne-Rhône-Alpes, France, Europ
Frankfurt, Hesse, Germany, Europ
Dresden, Saxony, Germany, Europ
Clermont-Ferrand, Auvergne-Rhône-Alpes, France, Europ
Jönköping, Jönköping County, Sweden, Europ
Lichfield, Staffordshire, UK, Europ
San Antonio, Texas, USA, North Americ
Perpignan, Occitanie, France, Europ
Fort Worth, Texas, USA, North Americ
Kelowna, British Columbia, Canada, North Americ
Herning, Central Denmark Region, Denmark, Europ
Albuquerque, New Mexico, USA, North Americ
Svendborg, Southern Denmark, Denmark, Europ
London, Ontario, Canada, North Americ
Indianapolis, Indiana, USA, North Americ
Nancy, Grand Est, France, Europ
Catania, Sicily, Italy, Europ
Seattle, Washington, USA, North Americ
Oshawa, Ontario, Canada, North Americ
Baltimore, Maryland, USA, North Americ
Marseille, Provence-Alpes-Côte d'Azur, France, Europ
Taranto, Apulia, Italy, Europ
Southampton, Hampshire, UK, Europ
Quebec City, Quebec, Canada, North Americ
Glasgow, Scotland, UK, Europ
Thunder Bay, Ontario, Canada, North Americ
Trelleborg, Skåne County, Sweden, Europ
Victoria, British Columbia, Canada, North Americ
Montpellier, Occitanie, France, Europ
Washington, D.C., USA, North America
Taastrup, Capital Region, Denmark, Europ
Verona, Veneto, Italy, Europ
Saint John, New Brunswick, Canada, North Americ
Albertslund, Capital Region, Denmark, Europ
Edmonton, Alberta, Canada, North Americ
Bristol, Bristol, UK, Europ
Kristianstad, Skåne County, Sweden, Europ
Portsmouth, Hampshire, UK, Europ
Lille, Hauts-de-France, France, Europ
Kitchener, Ontario, Canada, North Americ
Baltimore, Maryland, USA, North Americ
Reggio Emilia, Emilia-Romagna, Italy, Europ
Rennes, Brittany, France, Europ
Nashville, Tennessee, USA, North Americ
Cagliari, Sardinia, Italy, Europ
Nanaimo, British Columbia, Canada, North Americ
Denver, Colorado, USA, North Americ
Lund, Skåne County, Sweden, Europ
Ravenna, Emilia-Romagna, Italy, Europ
Toulon, Provence-Alpes-Côte d'Azur, France, Europ
Kalmar, Kalmar County, Sweden, Europ
Regina, Saskatchewan, Canada, North Americ
Portland, Oregon, USA, North Americ
Sarnia, Ontario, Canada, North Americ
Dortmund, North Rhine-Westphalia, Germany, Europ
Eskilstuna, Södermanland County, Sweden, Europ
Venice, Veneto, Italy, Europ
Dijon, Bourgogne-Franche-Comté, France, Europ
Halmstad, Halland County, Sweden, Europ
Stockholm, Stockholm County, Sweden, Europe
Kingston, Ontario, Canada, North Americ
Catania, Sicily, Italy, Europ
Newcastle, Tyne and Wear, UK, Europ
Kitchener, Ontario, Canada, North Americ
Kitchener, Ontario, Canada, North Americ
Austin, Texas, USA, North Americ
Aarhus, Central Denmark Region, Denmark, Europ
Arlington, Texas, USA, North Americ
Florence, Tuscany, Italy, Europ
St. John's, Newfoundland and Labrador, Canada, North Americ
Taastrup, Capital Region, Denmark, Europ
Hanover, Lower Saxony, Germany, Europ
Tulsa, Oklahoma, USA, North Americ
Mesa, Arizona, USA, North Americ
Lichfield, Staffordshire, UK, Europ
Fort Worth, Texas, USA, North Americ
Tulsa, Oklahoma, USA, North Americ
Arlington, Texas, USA, North Americ
Regina, Saskatchewan, Canada, North Americ
Halmstad, Halland County, Sweden, Europ
Louisville, Kentucky, USA, North Americ
Holstebro, Central Denmark Region, Denmark, Europ
Virginia Beach, Virginia, USA, North Americ
Foggia, Apulia, Italy, Europ
Oshawa, Ontario, Canada, North Americ
Ottawa, Ontario, Canada, North Americ
Sudbury, Ontario, Canada, North Americ
Herlev, Capital Region, Denmark, Europ
Örebro, Örebro County, Sweden, Europ
Salerno, Campania, Italy, Europ
Frankfurt, Hesse, Germany, Europ
Varberg, Halland County, Sweden, Europ
Louisville, Kentucky, USA, North Americ
Linköping, Östergötland County, Sweden, Europ
Quebec City, Quebec, Canada, North Americ
Plymouth, Devon, UK, Europ
Swansea, Wales, UK, Europ
Glasgow, Scotland, UK, Europ
Salerno, Campania, Italy, Europ
Edmonton, Alberta, Canada, North Americ
Grenoble, Auvergne-Rhône-Alpes, France, Europ
Leeds, West Yorkshire, UK, Europ
Trois-Rivières, Quebec, Canada, North Americ
Prato, Tuscany, Italy, Europ
Brantford, Ontario, Canada, North Americ
Vancouver, British Columbia, Canada, North Americ
Kalmar, Kalmar County, Sweden, Europ
Jacksonville, Florida, USA, North Americ
Victoria, British Columbia, Canada, North Americ
Minneapolis, Minnesota, USA, North Americ
Villeurbanne, Auvergne-Rhône-Alpes, France, Europ
Southampton, Hampshire, UK, Europ
Coventry, West Midlands, UK, Europ
